datetime,temperature,humidity,wind_speed,month,target_day_1,target_day_2,target_day_3,target_day_4,target_day_5,target_day_6,target_day_7
2012-10-01,8.617262285272757,78.0,0.0,10,12.006888448541694,14.52395833333336,11.24166666666669,11.606250000000019,12.52458333333336,13.033333333333358,13.994166666666684
2012-10-02,12.006888448541694,65.16666666666667,0.625,10,14.52395833333336,11.24166666666669,11.606250000000019,12.52458333333336,13.033333333333358,13.994166666666684,13.557708333333354
2012-10-03,14.52395833333336,58.416666666666664,1.5833333333333333,10,11.24166666666669,11.606250000000019,12.52458333333336,13.033333333333358,13.994166666666684,13.557708333333354,12.811250000000017
2012-10-04,11.24166666666669,48.869565217391305,3.375,10,11.606250000000019,12.52458333333336,13.033333333333358,13.994166666666684,13.557708333333354,12.811250000000017,14.40625000000002
2012-10-05,11.606250000000019,48.52173913043478,2.625,10,12.52458333333336,13.033333333333358,13.994166666666684,13.557708333333354,12.811250000000017,14.40625000000002,10.502500000000017
2012-10-06,12.52458333333336,48.45,2.8333333333333335,10,13.033333333333358,13.994166666666684,13.557708333333354,12.811250000000017,14.40625000000002,10.502500000000017,12.02166666666669
2012-10-07,13.033333333333358,49.833333333333336,1.5833333333333333,10,13.994166666666684,13.557708333333354,12.811250000000017,14.40625000000002,10.502500000000017,12.02166666666669,12.900000000000025
2012-10-08,13.994166666666684,51.291666666666664,0.875,10,13.557708333333354,12.811250000000017,14.40625000000002,10.502500000000017,12.02166666666669,12.900000000000025,14.820000000000022
2012-10-09,13.557708333333354,61.625,0.9166666666666666,10,12.811250000000017,14.40625000000002,10.502500000000017,12.02166666666669,12.900000000000025,14.820000000000022,13.70750000000003
2012-10-10,12.811250000000017,68.08333333333333,1.8333333333333333,10,14.40625000000002,10.502500000000017,12.02166666666669,12.900000000000025,14.820000000000022,13.70750000000003,13.309166666666691
2012-10-11,14.40625000000002,64.04166666666667,0.08333333333333333,10,10.502500000000017,12.02166666666669,12.900000000000025,14.820000000000022,13.70750000000003,13.309166666666691,9.510833333333352
2012-10-12,10.502500000000017,77.79166666666667,0.8333333333333334,10,12.02166666666669,12.900000000000025,14.820000000000022,13.70750000000003,13.309166666666691,9.510833333333352,10.974166666666688
2012-10-13,12.02166666666669,77.54166666666667,2.9166666666666665,10,12.900000000000025,14.820000000000022,13.70750000000003,13.309166666666691,9.510833333333352,10.974166666666688,12.913333333333354
2012-10-14,12.900000000000025,82.79166666666667,3.5833333333333335,10,14.820000000000022,13.70750000000003,13.309166666666691,9.510833333333352,10.974166666666688,12.913333333333354,7.803958333333353
2012-10-15,14.820000000000022,85.125,4.5,10,13.70750000000003,13.309166666666691,9.510833333333352,10.974166666666688,12.913333333333354,7.803958333333353,6.800416666666689
2012-10-16,13.70750000000003,87.0,2.4166666666666665,10,13.309166666666691,9.510833333333352,10.974166666666688,12.913333333333354,7.803958333333353,6.800416666666689,5.107083333333352
2012-10-17,13.309166666666691,75.33333333333333,4.958333333333333,10,9.510833333333352,10.974166666666688,12.913333333333354,7.803958333333353,6.800416666666689,5.107083333333352,6.574583333333353
2012-10-18,9.510833333333352,73.56521739130434,1.0416666666666667,10,10.974166666666688,12.913333333333354,7.803958333333353,6.800416666666689,5.107083333333352,6.574583333333353,7.440208333333359
2012-10-19,10.974166666666688,70.375,1.0,10,12.913333333333354,7.803958333333353,6.800416666666689,5.107083333333352,6.574583333333353,7.440208333333359,7.440000000000022
2012-10-20,12.913333333333354,82.16666666666667,4.833333333333333,10,7.803958333333353,6.800416666666689,5.107083333333352,6.574583333333353,7.440208333333359,7.440000000000022,7.677916666666692
2012-10-21,7.803958333333353,80.20833333333333,3.125,10,6.800416666666689,5.107083333333352,6.574583333333353,7.440208333333359,7.440000000000022,7.677916666666692,9.633333333333354
2012-10-22,6.800416666666689,78.29166666666667,3.125,10,5.107083333333352,6.574583333333353,7.440208333333359,7.440000000000022,7.677916666666692,9.633333333333354,12.203333333333356
2012-10-23,5.107083333333352,81.70833333333333,1.1666666666666667,10,6.574583333333353,7.440208333333359,7.440000000000022,7.677916666666692,9.633333333333354,12.203333333333356,12.830000000000018
2012-10-24,6.574583333333353,82.83333333333333,2.5,10,7.440208333333359,7.440000000000022,7.677916666666692,9.633333333333354,12.203333333333356,12.830000000000018,12.697500000000021
2012-10-25,7.440208333333359,78.70833333333333,0.625,10,7.440000000000022,7.677916666666692,9.633333333333354,12.203333333333356,12.830000000000018,12.697500000000021,13.274166666666687
2012-10-26,7.440000000000022,82.73913043478261,0.4166666666666667,10,7.677916666666692,9.633333333333354,12.203333333333356,12.830000000000018,12.697500000000021,13.274166666666687,11.99250000000002
2012-10-27,7.677916666666692,81.25,0.625,10,9.633333333333354,12.203333333333356,12.830000000000018,12.697500000000021,13.274166666666687,11.99250000000002,12.12166666666669
2012-10-28,9.633333333333354,87.08333333333333,4.041666666666667,10,12.203333333333356,12.830000000000018,12.697500000000021,13.274166666666687,11.99250000000002,12.12166666666669,12.014375000000017
2012-10-29,12.203333333333356,85.70833333333333,4.041666666666667,10,12.830000000000018,12.697500000000021,13.274166666666687,11.99250000000002,12.12166666666669,12.014375000000017,13.120416666666685
2012-10-30,12.830000000000018,85.95833333333333,4.333333333333333,10,12.697500000000021,13.274166666666687,11.99250000000002,12.12166666666669,12.014375000000017,13.120416666666685,13.21958333333336
2012-10-31,12.697500000000021,89.08333333333333,3.0416666666666665,10,13.274166666666687,11.99250000000002,12.12166666666669,12.014375000000017,13.120416666666685,13.21958333333336,9.407916666666688
2012-11-01,13.274166666666687,93.875,2.0,11,11.99250000000002,12.12166666666669,12.014375000000017,13.120416666666685,13.21958333333336,9.407916666666688,9.665416666666689
2012-11-02,11.99250000000002,86.83333333333333,1.9166666666666667,11,12.12166666666669,12.014375000000017,13.120416666666685,13.21958333333336,9.407916666666688,9.665416666666689,5.555416666666697
2012-11-03,12.12166666666669,85.08333333333333,1.5416666666666667,11,12.014375000000017,13.120416666666685,13.21958333333336,9.407916666666688,9.665416666666689,5.555416666666697,4.3875000000000215
2012-11-04,12.014375000000017,88.5,2.25,11,13.120416666666685,13.21958333333336,9.407916666666688,9.665416666666689,5.555416666666697,4.3875000000000215,2.3558333333333557
2012-11-05,13.120416666666685,89.04166666666667,2.7083333333333335,11,13.21958333333336,9.407916666666688,9.665416666666689,5.555416666666697,4.3875000000000215,2.3558333333333557,3.2758333333333574
2012-11-06,13.21958333333336,86.66666666666667,2.0833333333333335,11,9.407916666666688,9.665416666666689,5.555416666666697,4.3875000000000215,2.3558333333333557,3.2758333333333574,6.878333333333354
2012-11-07,9.407916666666688,84.08333333333333,1.3333333333333333,11,9.665416666666689,5.555416666666697,4.3875000000000215,2.3558333333333557,3.2758333333333574,6.878333333333354,9.203750000000019
2012-11-08,9.665416666666689,76.25,2.7916666666666665,11,5.555416666666697,4.3875000000000215,2.3558333333333557,3.2758333333333574,6.878333333333354,9.203750000000019,8.843333333333357
2012-11-09,5.555416666666697,77.58333333333333,2.3333333333333335,11,4.3875000000000215,2.3558333333333557,3.2758333333333574,6.878333333333354,9.203750000000019,8.843333333333357,6.492500000000028
